idShot,goal,x,y,lastName
20190206489,0,45,-3,Anderson
20190206494,0,55,-4,Grubauer
20190206498,0,45,17,Blackwood
20190206504,0,-7,24,Hart
20190206507,0,85,-26,Raanta
20190206519,0,80,0,Georgiev
20190206525,0,12,-37,Campbell
20190206526,0,80,1,Rinne
20190206527,0,33,-36,Rinne
20190206535,0,17,30,Holtby
20190206536,0,33,-2,Jones
20190206545,0,62,22,Jarry
20190206557,1,73,13,Mrazek
20190206565,0,43,1,Stalock
20190206575,0,33,32,Crawford
20190206578,0,40,16,Howard
20190206589,0,11,-4,Saros
20190206596,0,69,-19,Smith
20190206597,0,73,6,Smith
20190206605,0,88,-24,Price
20190206606,0,30,-26,Price
20190206607,0,66,-2,Hellebuyck
20190206609,0,58,27,Hellebuyck
20190206618,0,38,34,Francouz
20190206619,0,45,-29,Francouz
20190206628,0,55,2,Merzlikins
20190206629,1,81,3,Merzlikins
20190206639,0,43,-2,Vasilevskiy
20190206644,0,36,-5,Hill
20190206648,0,71,-21,Driedger
20190206654,0,83,8,Greiss
20190206657,0,78,8,Blackwood
20190206659,0,63,0,Greiss
20190206669,0,45,24,Grubauer
20190206679,0,33,34,Samsonov
20190206687,1,82,-24,Reimer
20190206689,0,1,-30,Elliott
20190206704,0,66,23,Dell
20190206709,0,53,-19,Dell
20190206735,0,54,22,Jarry
20190206744,0,64,-24,Merzlikins
20190206749,0,45,30,Merzlikins
20190206765,0,32,-19,Holtby
20190206767,0,62,31,Hart
20190206784,0,80,17,Halak
20190206796,0,33,34,Smith
20190206816,0,39,-27,Bobrovsky
20190206819,1,76,13,Demko
20190206824,0,6,-8,Blackwood
20190206826,0,85,8,Blackwood
20190206828,0,62,20,Blackwood
20190206834,0,45,34,Ullmark
20190206844,0,60,-4,Crawford
20190206854,0,83,25,Talbot
20190206856,0,66,15,Talbot
20190206859,0,46,28,Talbot
20190206865,0,1,41,Subban
20190206868,0,38,15,Campbell
20190206887,0,42,12,Merzlikins
20190206888,0,47,17,Merzlikins
20190206895,0,-70,-20,Hogberg
20190206905,0,40,31,Raanta
20190206917,0,53,28,Murray
20190206926,0,57,14,Hutton
20190206934,0,60,-31,Price
20190206959,0,75,-40,Vasilevskiy
20190206974,0,9,-26,Campbell
20190206984,0,57,15,Binnington
20190206986,0,81,4,Lundqvist
20190206987,0,35,35,Lundqvist
